typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44985060","false","-1","N/A",,"false","44985060","false",,"false",,"9801714","9801714","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","778","false","-1","N/A",,"false","778","false",,"false",,"3273","3273","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14127810","false","-1","N/A",,"false","14127810","false",,"false",,"2962939","2962939","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4426101","false","-1","N/A",,"false","4426101","false",,"false",,"825085","825085","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","-1","N/A",,"false","25","false",,"false",,"165","165","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","152166035","false","-1","N/A",,"false","152166035","false",,"false",,"33443640","33443640","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15106082","false","-1","N/A",,"false","15106082","false",,"false",,"3152316","3152316","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","528","NLD","Netherlands","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","331809144","false","-1","N/A",,"false","331809144","false",,"false",,"59993178","59993178","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20202","false","-1","N/A",,"false","20202","false",,"false",,"10101","10101","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","642","ROU","Romania","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","-1","N/A",,"false","15","false",,"false",,"43","43","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","652338947","false","-1","N/A",,"false","652338947","false",,"false",,"125214747","125214747","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126970342","false","-1","N/A",,"false","126970342","false",,"false",,"28028409","28028409","0","true","false",
"C","A","20150101","2015","52","2015","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9030","false","-1","N/A",,"false","9030","false",,"false",,"8388","8388","0","true","false",
